"Region","TOTAL","Year","lat","long"
"ANDALUCIA",6090.03863566465,2015,-4.57403012761823,37.4635721815812
"ANDALUCIA",6549.59797,2016,-4.57403012761823,37.4635721815812
"ANDALUCIA",7377.46803,2017,-4.57403012761823,37.4635721815812
"ANDALUCIA",5837.96894,2013,-4.57403012761823,37.4635721815812
"ANDALUCIA",6887.5107,2014,-4.57403012761823,37.4635721815812
"ARAGON",1003.55397363701,2015,-0.660301769254508,41.5198845241409
"ARAGON",764.63805,2013,-0.660301769254508,41.5198845241409
"ARAGON",1047.5641,2016,-0.660301769254508,41.5198845241409
"ARAGON",820.380379,2017,-0.660301769254508,41.5198845241409
"ARAGON",931.84517,2014,-0.660301769254508,41.5198845241409
"BALEARES",113.643,2016,2.91020179935206,39.572705555674
"BALEARES",110.6085,2014,2.91020179935206,39.572705555674
"BALEARES",119.6575,2017,2.91020179935206,39.572705555674
"BALEARES",108.399,2015,2.91020179935206,39.572705555674
"BALEARES",98.73,2013,2.91020179935206,39.572705555674
"C. VALENCIANA",6090.08967,2016,-0.554573008389547,39.4014470575924
"C. VALENCIANA",5844.8135,2017,-0.554573008389547,39.4014470575924
"C. VALENCIANA",6205.725,2014,-0.554573008389547,39.4014470575924
"C. VALENCIANA",6076.8545,2013,-0.554573008389547,39.4014470575924
"C. VALENCIANA",6550.561,2015,-0.554573008389547,39.4014470575924
"CANARIAS",472.1376196706,2016,-10.4719509660491,34.2539003071395
"CANARIAS",268.10712997872,2017,-10.4719509660491,34.2539003071395
"CANARIAS",470.586003916,2013,-10.4719509660491,34.2539003071395
"CANARIAS",394.8089108498,2015,-10.4719509660491,34.2539003071395
"CANARIAS",437.31098,2014,-10.4719509660491,34.2539003071395
"CANTABRIA",143.45577,2015,-4.03148685684495,43.1969675935883
"CANTABRIA",163.37672,2016,-4.03148685684495,43.1969675935883
"CANTABRIA",124.06746,2017,-4.03148685684495,43.1969675935883
"CANTABRIA",63.446,2013,-4.03148685684495,43.1969675935883
"CANTABRIA",104.397,2014,-4.03148685684495,43.1969675935883
"CASTILLA-LA MANCHA",1971.92708,2015,-3.00458347107353,39.5810976833405
"CASTILLA-LA MANCHA",2048.65515,2017,-3.00458347107353,39.5810976833405
"CASTILLA-LA MANCHA",2310.34252,2016,-3.00458347107353,39.5810976833405
"CASTILLA-LA MANCHA",1701.85455,2013,-3.00458347107353,39.5810976833405
"CASTILLA-LA MANCHA",1917.419,2014,-3.00458347107353,39.5810976833405
"CASTILLA Y LEON",4841.6758,2015,-4.78191120029505,41.7543483195362
"CASTILLA Y LEON",4891.8015,2016,-4.78191120029505,41.7543483195362
"CASTILLA Y LEON",2311.05398,2017,-4.78191120029505,41.7543483195362
"CASTILLA Y LEON",4498.45,2014,-4.78191120029505,41.7543483195362
"CASTILLA Y LEON",3982.688,2013,-4.78191120029505,41.7543483195362
"CATALUNYA",1723.37985,2016,1.52871782387504,41.7982384403018
"CATALUNYA",2381.49385,2015,1.52871782387504,41.7982384403018
"CATALUNYA",1925.3815,2017,1.52871782387504,41.7982384403018
"CATALUNYA",2203.7797,2013,1.52871782387504,41.7982384403018
"CATALUNYA",2725.4058,2014,1.52871782387504,41.7982384403018
"EXTREMADURA",6583.7412,2015,-6.1506917673269,39.191409371431
"EXTREMADURA",3333.16036,2016,-6.1506917673269,39.191409371431
"EXTREMADURA",4301.06217,2017,-6.1506917673269,39.191409371431
"EXTREMADURA",5517.365,2013,-6.1506917673269,39.191409371431
"EXTREMADURA",4968.9285,2014,-6.1506917673269,39.191409371431
"GALICIA",1505.528,2015,-7.91124952504984,42.7568718065024
"GALICIA",1353.832,2014,-7.91124952504984,42.7568718065024
"GALICIA",2051.646,2016,-7.91124952504984,42.7568718065024
"GALICIA",2285.633,2017,-7.91124952504984,42.7568718065024
"GALICIA",1459.723,2013,-7.91124952504984,42.7568718065024
"LA RIOJA",228.53,2015,-2.51717767715558,42.2750752417628
"LA RIOJA",164.969,2016,-2.51717767715558,42.2750752417628
"LA RIOJA",230.7565,2013,-2.51717767715558,42.2750752417628
"LA RIOJA",72.20328,2017,-2.51717767715558,42.2750752417628
"LA RIOJA",265.04,2014,-2.51717767715558,42.2750752417628
"MADRID",192.336,2015,-3.71700575470277,40.4952001459873
"MADRID",224.16,2017,-3.71700575470277,40.4952001459873
"MADRID",166.828,2013,-3.71700575470277,40.4952001459873
"MADRID",174.137297218155,2016,-3.71700575470277,40.4952001459873
"MADRID",169.604,2014,-3.71700575470277,40.4952001459873
"NAVARRA",139.2418,2014,-1.64765719475741,42.6675491083131
"NAVARRA",152.0605,2016,-1.64765719475741,42.6675491083131
"NAVARRA",142.8149,2015,-1.64765719475741,42.6675491083131
"NAVARRA",154.1451,2017,-1.64765719475741,42.6675491083131
"NAVARRA",120.2244,2013,-1.64765719475741,42.6675491083131
"P. DE ASTURIAS",422.292,2015,-5.99299636168567,43.2923193483469
"P. DE ASTURIAS",473.496,2016,-5.99299636168567,43.2923193483469
"P. DE ASTURIAS",470.1,2017,-5.99299636168567,43.2923193483469
"P. DE ASTURIAS",384.462,2013,-5.99299636168567,43.2923193483469
"P. DE ASTURIAS",390,2014,-5.99299636168567,43.2923193483469
"PAIS VASCO",200.1662,2016,-2.616896410576,43.04348093876
"PAIS VASCO",207.9774,2017,-2.616896410576,43.04348093876
"PAIS VASCO",286.716,2013,-2.616896410576,43.04348093876
"PAIS VASCO",258.615,2015,-2.616896410576,43.04348093876
"PAIS VASCO",193.34,2014,-2.616896410576,43.04348093876
"R. DE MURCIA",621,2015,-1.48511761513829,38.0020171036122
"R. DE MURCIA",875.60974125,2014,-1.48511761513829,38.0020171036122
"R. DE MURCIA",1106.415,2016,-1.48511761513829,38.0020171036122
"R. DE MURCIA",838.2879,2017,-1.48511761513829,38.0020171036122
"R. DE MURCIA",1246.14,2013,-1.48511761513829,38.0020171036122
